code	full-ja	full-ja-hira	full-en	base-ja	base-ja-hira	base-en	level	type	pref	psub	county	subpref	muni
01000	北海道	ほっかいどう	Hokkaido Prefecture	北海道	ほっかいどう	Hokkaido	1	12	01				
01100	札幌市	さっぽろし	Sapporo City	札幌	さっぽろ	Sapporo	2	21	01				
01100	札幌市	さっぽろし	Sapporo City	札幌	さっぽろ	Sapporo	3	31	01	01100		01300	
01101	中央区	ちゅうおうく	Chuo Ward	中央	ちゅうおう	Chuo	4	41	01	01100		01300	01100
01102	北区	きたく	Kita Ward	北	きた	Kita	4	41	01	01100		01300	01100
01103	東区	ひがしく	Higashi Ward	東	ひがし	Higashi	4	41	01	01100		01300	01100
01104	白石区	しろいしく	Shiroishi Ward	白石	しろいし	Shiroishi	4	41	01	01100		01300	01100
01105	豊平区	とよひらく	Toyohira Ward	豊平	とよひら	Toyohira	4	41	01	01100		01300	01100
01106	南区	みなみく	Minami Ward	南	みなみ	Minami	4	41	01	01100		01300	01100
01107	西区	にしく	Nishi Ward	西	にし	Nishi	4	41	01	01100		01300	01100
01108	厚別区	あつべつく	Atsubetsu Ward	厚別	あつべつ	Atsubetsu	4	41	01	01100		01300	01100
01109	手稲区	ていねく	Teine Ward	手稲	ていね	Teine	4	41	01	01100		01300	01100
01110	清田区	きよたく	Kiyota Ward	清田	きよた	Kiyota	4	41	01	01100		01300	01100
01200	市部	しぶ	City Area				2	23	01				
01202	函館市	はこだてし	Hakodate City	函館	はこだて	Hakodate	3	32	01	01200		01330	
01203	小樽市	おたるし	Otaru City	小樽	おたる	Otaru	3	32	01	01200		01390	
01204	旭川市	あさひかわし	Asahikawa City	旭川	あさひかわ	Asahikawa	3	32	01	01200		01450	
01205	室蘭市	むろらんし	Muroran City	室蘭	むろらん	Muroran	3	32	01	01200		01570	
01206	釧路市	くしろし	Kushiro City	釧路	くしろ	Kushiro	3	32	01	01200		01660	
01207	帯広市	おびひろし	Obihiro City	帯広	おびひろ	Obihiro	3	32	01	01200		01630	
01208	北見市	きたみし	Kitami City	北見	きたみ	Kitami	3	32	01	01200		01540	
01209	夕張市	ゆうばりし	Yubari City	夕張	ゆうばり	Yubari	3	32	01	01200		01420	
01210	岩見沢市	いわみざわし	Iwamizawa City	岩見沢	いわみざわ	Iwamizawa	3	32	01	01200		01420	
01211	網走市	あばしりし	Abashiri City	網走	あばしり	Abashiri	3	32	01	01200		01540	
01212	留萌市	るもいし	Rumoi City	留萌	るもい	Rumoi	3	32	01	01200		01480	
01213	苫小牧市	とまこまいし	Tomakomai City	苫小牧	とまこまい	Tomakomai	3	32	01	01200		01570	
01214	稚内市	わっかないし	Wakkanai City	稚内	わっかない	Wakkanai	3	32	01	01200		01510	
01215	美唄市	びばいし	Bibai City	美唄	びばい	Bibai	3	32	01	01200		01420	
01216	芦別市	あしべつし	Ashibetsu City	芦別	あしべつ	Ashibetsu	3	32	01	01200		01420	
01217	江別市	えべつし	Ebetsu City	江別	えべつ	Ebetsu	3	32	01	01200		01300	
01218	赤平市	あかびらし	Akabira City	赤平	あかびら	Akabira	3	32	01	01200		01420	
01219	紋別市	もんべつし	Monbetsu City	紋別	もんべつ	Monbetsu	3	32	01	01200		01540	
01220	士別市	しべつし	Shibetsu City	士別	しべつ	Shibetsu	3	32	01	01200		01450	
01221	名寄市	なよろし	Nayoro City	名寄	なよろ	Nayoro	3	32	01	01200		01450	
01222	三笠市	みかさし	Mikasa City	三笠	みかさ	Mikasa	3	32	01	01200		01420	
01223	根室市	ねむろし	Nemuro City	根室	ねむろ	Nemuro	3	32	01	01200		01690	
01224	千歳市	ちとせし	Chitose City	千歳	ちとせ	Chitose	3	32	01	01200		01300	
01225	滝川市	たきかわし	Takikawa City	滝川	たきかわ	Takikawa	3	32	01	01200		01420	
01226	砂川市	すながわし	Sunagawa City	砂川	すながわ	Sunagawa	3	32	01	01200		01420	
01227	歌志内市	うたしないし	Utashinai City	歌志内	うたしない	Utashinai	3	32	01	01200		01420	
01228	深川市	ふかがわし	Fukagawa City	深川	ふかがわ	Fukagawa	3	32	01	01200		01420	
01229	富良野市	ふらのし	Furano City	富良野	ふらの	Furano	3	32	01	01200		01450	
01230	登別市	のぼりべつし	Noboribetsu City	登別	のぼりべつ	Noboribetsu	3	32	01	01200		01570	
01231	恵庭市	えにわし	Eniwa City	恵庭	えにわ	Eniwa	3	32	01	01200		01300	
01233	伊達市	だてし	Date City	伊達	だて	Date	3	32	01	01200		01570	
01234	北広島市	きたひろしまし	Kitahiroshima City	北広島	きたひろしま	Kitahiroshima	3	32	01	01200		01300	
01235	石狩市	いしかりし	Ishikari City	石狩	いしかり	Ishikari	3	32	01	01200		01300	
01236	北斗市	ほくとし	Hokuto City	北斗	ほくと	Hokuto	3	32	01	01200		01330	
01300	石狩振興局	いしかりしんこうきょく	Ishikari Subprefectural Bureau	石狩	いしかり	Ishikari	2	26	01				
01303	当別町	とうべつちょう	Tobetsu Town	当別	とうべつ	Tobetsu	3	35	01	01300	01802	01300	
01304	新篠津村	しんしのつむら	Shinshinotsu Village	新篠津	しんしのつ	Shinshinotsu	3	36	01	01300	01802	01300	
01330	渡島総合振興局	おしまそうごうしんこうきょく	Oshima General Subprefectural Bureau	渡島	おしま	Oshima	2	25	01				
01331	松前町	まつまえちょう	Matsumae Town	松前	まつまえ	Matsumae	3	35	01	01330	01806	01330	
01332	福島町	ふくしまちょう	Fukushima Town	福島	ふくしま	Fukushima	3	35	01	01330	01806	01330	
01333	知内町	しりうちちょう	Shiriuchi Town	知内	しりうち	Shiriuchi	3	35	01	01330	01807	01330	
01334	木古内町	きこないちょう	Kikonai Town	木古内	きこない	Kikonai	3	35	01	01330	01807	01330	
01337	七飯町	ななえちょう	Nanae Town	七飯	ななえ	Nanae	3	35	01	01330	01808	01330	
01343	鹿部町	しかべちょう	Shikabe Town	鹿部	しかべ	Shikabe	3	35	01	01330	01809	01330	
01345	森町	もりまち	Mori Town	森	もり	Mori	3	34	01	01330	01809	01330	
01346	八雲町	やくもちょう	Yakumo Town	八雲	やくも	Yakumo	3	35	01	01330	01810	01330	
01347	長万部町	おしゃまんべちょう	Oshamanbe Town	長万部	おしゃまんべ	Oshamanbe	3	35	01	01330	01811	01330	
01360	檜山振興局	ひやましんこうきょく	Hiyama Subprefectural Bureau	檜山	ひやま	Hiyama	2	26	01				
01361	江差町	えさしちょう	Esashi Town	江差	えさし	Esashi	3	35	01	01360	01812	01360	
01362	上ノ国町	かみのくにちょう	Kaminokuni Town	上ノ国	かみのくに	Kaminokuni	3	35	01	01360	01812	01360	
01363	厚沢部町	あっさぶちょう	Assabu Town	厚沢部	あっさぶ	Assabu	3	35	01	01360	01812	01360	
01364	乙部町	おとべちょう	Otobe Town	乙部	おとべ	Otobe	3	35	01	01360	01813	01360	
01367	奥尻町	おくしりちょう	Okushiri Town	奥尻	おくしり	Okushiri	3	35	01	01360	01815	01360	
01370	今金町	いまかねちょう	Imakane Town	今金	いまかね	Imakane	3	35	01	01360	01816	01360	
01371	せたな町	せたなちょう	Setana Town	せたな	せたな	Setana	3	35	01	01360	01814	01360	
01390	後志総合振興局	しりべしそうごうしんこうきょく	Shiribeshi General Subprefectural Bureau	後志	しりべし	Shiribeshi	2	25	01				
01391	島牧村	しままきむら	Shimamaki Village	島牧	しままき	Shimamaki	3	36	01	01390	01817	01390	
01392	寿都町	すっつちょう	Suttsu Town	寿都	すっつ	Suttsu	3	35	01	01390	01818	01390	
01393	黒松内町	くろまつないちょう	Kuromatsunai Town	黒松内	くろまつない	Kuromatsunai	3	35	01	01390	01818	01390	
01394	蘭越町	らんこしちょう	Rankoshi Town	蘭越	らんこし	Rankoshi	3	35	01	01390	01819	01390	
01395	ニセコ町	にせこちょう	Niseko Town	ニセコ	にせこ	Niseko	3	35	01	01390	01820	01390	
01396	真狩村	まっかりむら	Makkari Village	真狩	まっかり	Makkari	3	36	01	01390	01820	01390	
01397	留寿都村	るすつむら	Rusutsu Village	留寿都	るすつ	Rusutsu	3	36	01	01390	01820	01390	
01398	喜茂別町	きもべつちょう	Kimobetsu Town	喜茂別	きもべつ	Kimobetsu	3	35	01	01390	01820	01390	
01399	京極町	きょうごくちょう	Kyogoku Town	京極	きょうごく	Kyogoku	3	35	01	01390	01820	01390	
01400	倶知安町	くっちゃんちょう	Kutchan Town	倶知安	くっちゃん	Kutchan	3	35	01	01390	01820	01390	
01401	共和町	きょうわちょう	Kyowa Town	共和	きょうわ	Kyowa	3	35	01	01390	01821	01390	
01402	岩内町	いわないちょう	Iwanai Town	岩内	いわない	Iwanai	3	35	01	01390	01821	01390	
01403	泊村	とまりむら	Tomari Village	泊	とまり	Tomari	3	36	01	01390	01822	01390	
01404	神恵内村	かもえないむら	Kamoenai Village	神恵内	かもえない	Kamoenai	3	36	01	01390	01822	01390	
01405	積丹町	しゃこたんちょう	Shakotan Town	積丹	しゃこたん	Shakotan	3	35	01	01390	01823	01390	
01406	古平町	ふるびらちょう	Furubira Town	古平	ふるびら	Furubira	3	35	01	01390	01824	01390	
01407	仁木町	にきちょう	Niki Town	仁木	にき	Niki	3	35	01	01390	01825	01390	
01408	余市町	よいちちょう	Yoichi Town	余市	よいち	Yoichi	3	35	01	01390	01825	01390	
01409	赤井川村	あかいがわむら	Akaigawa Village	赤井川	あかいがわ	Akaigawa	3	36	01	01390	01825	01390	
01420	空知総合振興局	そらちそうごうしんこうきょく	Sorachi General Subprefectural Bureau	空知	そらち	Sorachi	2	25	01				
01423	南幌町	なんぽろちょう	Nanporo Town	南幌	なんぽろ	Nanporo	3	35	01	01420	01826	01420	
01424	奈井江町	ないえちょう	Naie Town	奈井江	ないえ	Naie	3	35	01	01420	01826	01420	
01425	上砂川町	かみすながわちょう	Kamisunagawa Town	上砂川	かみすながわ	Kamisunagawa	3	35	01	01420	01826	01420	
01427	由仁町	ゆにちょう	Yuni Town	由仁	ゆに	Yuni	3	35	01	01420	01827	01420	
01428	長沼町	ながぬまちょう	Naganuma Town	長沼	ながぬま	Naganuma	3	35	01	01420	01827	01420	
01429	栗山町	くりやまちょう	Kuriyama Town	栗山	くりやま	Kuriyama	3	35	01	01420	01827	01420	
01430	月形町	つきがたちょう	Tsukigata Town	月形	つきがた	Tsukigata	3	35	01	01420	01828	01420	
01431	浦臼町	うらうすちょう	Urausu Town	浦臼	うらうす	Urausu	3	35	01	01420	01828	01420	
01432	新十津川町	しんとつかわちょう	Shintotsukawa Town	新十津川	しんとつかわ	Shintotsukawa	3	35	01	01420	01828	01420	
01433	妹背牛町	もせうしちょう	Moseushi Town	妹背牛	もせうし	Moseushi	3	35	01	01420	01829	01420	
01434	秩父別町	ちっぷべつちょう	Chippubetsu Town	秩父別	ちっぷべつ	Chippubetsu	3	35	01	01420	01829	01420	
01436	雨竜町	うりゅうちょう	Uryu Town	雨竜	うりゅう	Uryu	3	35	01	01420	01829	01420	
01437	北竜町	ほくりゅうちょう	Hokuryu Town	北竜	ほくりゅう	Hokuryu	3	35	01	01420	01829	01420	
01438	沼田町	ぬまたちょう	Numata Town	沼田	ぬまた	Numata	3	35	01	01420	01829	01420	
01450	上川総合振興局	かみかわそうごうしんこうきょく	Kamikawa General Subprefectural Bureau	上川	かみかわ	Kamikawa	2	25	01				
01452	鷹栖町	たかすちょう	Takasu Town	鷹栖	たかす	Takasu	3	35	01	01450	01830	01450	
01453	東神楽町	ひがしかぐらちょう	Higashikagura Town	東神楽	ひがしかぐら	Higashikagura	3	35	01	01450	01830	01450	
01454	当麻町	とうまちょう	Toma Town	当麻	とうま	Toma	3	35	01	01450	01830	01450	
01455	比布町	ぴっぷちょう	Pippu Town	比布	ぴっぷ	Pippu	3	35	01	01450	01830	01450	
01456	愛別町	あいべつちょう	Aibetsu Town	愛別	あいべつ	Aibetsu	3	35	01	01450	01830	01450	
01457	上川町	かみかわちょう	Kamikawa Town	上川	かみかわ	Kamikawa	3	35	01	01450	01830	01450	
01458	東川町	ひがしかわちょう	Higashikawa Town	東川	ひがしかわ	Higashikawa	3	35	01	01450	01830	01450	
01459	美瑛町	びえいちょう	Biei Town	美瑛	びえい	Biei	3	35	01	01450	01830	01450	
01460	上富良野町	かみふらのちょう	Kamifurano Town	上富良野	かみふらの	Kamifurano	3	35	01	01450	01826	01450	
01461	中富良野町	なかふらのちょう	Nakafurano Town	中富良野	なかふらの	Nakafurano	3	35	01	01450	01826	01450	
01462	南富良野町	みなみふらのちょう	Minamifurano Town	南富良野	みなみふらの	Minamifurano	3	35	01	01450	01826	01450	
01463	占冠村	しむかっぷむら	Shimukappu Village	占冠	しむかっぷ	Shimukappu	3	36	01	01450	01831	01450	
01464	和寒町	わっさむちょう	Wassamu Town	和寒	わっさむ	Wassamu	3	35	01	01450	01832	01450	
01465	剣淵町	けんぶちちょう	Kenbuchi Town	剣淵	けんぶち	Kenbuchi	3	35	01	01450	01832	01450	
01468	下川町	しもかわちょう	Shimokawa Town	下川	しもかわ	Shimokawa	3	35	01	01450	01832	01450	
01469	美深町	びふかちょう	Bifuka Town	美深	びふか	Bifuka	3	35	01	01450	01833	01450	
01470	音威子府村	おといねっぷむら	Otoineppu Village	音威子府	おといねっぷ	Otoineppu	3	36	01	01450	01833	01450	
01471	中川町	なかがわちょう	Nakagawa Town	中川	なかがわ	Nakagawa	3	35	01	01450	01833	01450	
01472	幌加内町	ほろかないちょう	Horokanai Town	幌加内	ほろかない	Horokanai	3	35	01	01450	01829	01450	
01480	留萌振興局	るもいしんこうきょく	Rumoi Subprefectural Bureau	留萌	るもい	Rumoi	2	26	01				
01481	増毛町	ましけちょう	Mashike Town	増毛	ましけ	Mashike	3	35	01	01480	01834	01480	
01482	小平町	おびらちょう	Obira Town	小平	おびら	Obira	3	35	01	01480	01835	01480	
01483	苫前町	とままえちょう	Tomamae Town	苫前	とままえ	Tomamae	3	35	01	01480	01836	01480	
01484	羽幌町	はぼろちょう	Haboro Town	羽幌	はぼろ	Haboro	3	35	01	01480	01836	01480	
01485	初山別村	しょさんべつむら	Shosanbetsu Village	初山別	しょさんべつ	Shosanbetsu	3	36	01	01480	01836	01480	
01486	遠別町	えんべつちょう	Enbetsu Town	遠別	えんべつ	Enbetsu	3	35	01	01480	01837	01480	
01487	天塩町	てしおちょう	Teshio Town	天塩	てしお	Teshio	3	35	01	01480	01837	01480	
01510	宗谷総合振興局	そうやそうごうしんこうきょく	Soya General Subprefectural Bureau	宗谷	そうや	Soya	2	25	01				
01511	猿払村	さるふつむら	Sarufutsu Village	猿払	さるふつ	Sarufutsu	3	36	01	01510	01838	01510	
01512	浜頓別町	はまとんべつちょう	Hamatonbetsu Town	浜頓別	はまとんべつ	Hamatonbetsu	3	35	01	01510	01839	01510	
01513	中頓別町	なかとんべつちょう	Nakatonbetsu Town	中頓別	なかとんべつ	Nakatonbetsu	3	35	01	01510	01839	01510	
01514	枝幸町	えさしちょう	Esashi Town	枝幸	えさし	Esashi	3	35	01	01510	01839	01510	
01516	豊富町	とよとみちょう	Toyotomi Town	豊富	とよとみ	Toyotomi	3	35	01	01510	01837	01510	
01517	礼文町	れぶんちょう	Rebun Town	礼文	れぶん	Rebun	3	35	01	01510	01840	01510	
01518	利尻町	りしりちょう	Rishiri Town	利尻	りしり	Rishiri	3	35	01	01510	01841	01510	
01519	利尻富士町	りしりふじちょう	Rishirifuji Town	利尻富士	りしりふじ	Rishirifuji	3	35	01	01510	01841	01510	
01520	幌延町	ほろのべちょう	Horonobe Town	幌延	ほろのべ	Horonobe	3	35	01	01510	01837	01510	
01540	オホーツク総合振興局	おほーつくそうごうしんこうきょく	Okhotsk General Subprefectural Bureau	オホーツク	おほーつく	Okhotsk	2	25	01				
01543	美幌町	びほろちょう	Bihoro Town	美幌	びほろ	Bihoro	3	35	01	01540	01842	01540	
01544	津別町	つべつちょう	Tsubetsu Town	津別	つべつ	Tsubetsu	3	35	01	01540	01842	01540	
01545	斜里町	しゃりちょう	Shari Town	斜里	しゃり	Shari	3	35	01	01540	01843	01540	
01546	清里町	きよさとちょう	Kiyosato Town	清里	きよさと	Kiyosato	3	35	01	01540	01843	01540	
01547	小清水町	こしみずちょう	Koshimizu Town	小清水	こしみず	Koshimizu	3	35	01	01540	01843	01540	
01549	訓子府町	くんねっぷちょう	Kunneppu Town	訓子府	くんねっぷ	Kunneppu	3	35	01	01540	01844	01540	
01550	置戸町	おけとちょう	Oketo Town	置戸	おけと	Oketo	3	35	01	01540	01844	01540	
01552	佐呂間町	さろまちょう	Saroma Town	佐呂間	さろま	Saroma	3	35	01	01540	01844	01540	
01555	遠軽町	えんがるちょう	Engaru Town	遠軽	えんがる	Engaru	3	35	01	01540	01845	01540	
01559	湧別町	ゆうべつちょう	Yubetsu Town	湧別	ゆうべつ	Yubetsu	3	35	01	01540	01845	01540	
01560	滝上町	たきのうえちょう	Takinoue Town	滝上	たきのうえ	Takinoue	3	35	01	01540	01845	01540	
01561	興部町	おこっぺちょう	Okoppe Town	興部	おこっぺ	Okoppe	3	35	01	01540	01845	01540	
01562	西興部村	にしおこっぺむら	Nishiokoppe Village	西興部	にしおこっぺ	Nishiokoppe	3	36	01	01540	01845	01540	
01563	雄武町	おうむちょう	Omu Town	雄武	おうむ	Omu	3	35	01	01540	01845	01540	
01564	大空町	おおぞらちょう	Ozora Town	大空	おおぞら	Ozora	3	35	01	01540	01842	01540	
01570	胆振総合振興局	いぶりそうごうしんこうきょく	Iburi General Subprefectural Bureau	胆振	いぶり	Iburi	2	25	01				
01571	豊浦町	とようらちょう	Toyoura Town	豊浦	とようら	Toyoura	3	35	01	01570	01820	01570	
01575	壮瞥町	そうべつちょう	Sobetsu Town	壮瞥	そうべつ	Sobetsu	3	35	01	01570	01846	01570	
01578	白老町	しらおいちょう	Shiraoi Town	白老	しらおい	Shiraoi	3	35	01	01570	01848	01570	
01581	厚真町	あつまちょう	Atsuma Town	厚真	あつま	Atsuma	3	35	01	01570	01831	01570	
01584	洞爺湖町	とうやこちょう	Toyako Town	洞爺湖	とうやこ	Toyako	3	35	01	01570	01820	01570	
01585	安平町	あびらちょう	Abira Town	安平	あびら	Abira	3	35	01	01570	01831	01570	
01586	むかわ町	むかわちょう	Mukawa Town	むかわ	むかわ	Mukawa	3	35	01	01570	01831	01570	
01600	日高振興局	ひだかしんこうきょく	Hidaka Subprefectural Bureau	日高	ひだか	Hidaka	2	26	01				
01601	日高町	ひだかちょう	Hidaka Town	日高	ひだか	Hidaka	3	35	01	01600	01849	01600	
01602	平取町	びらとりちょう	Biratori Town	平取	びらとり	Biratori	3	35	01	01600	01849	01600	
01604	新冠町	にいかっぷちょう	Niikappu Town	新冠	にいかっぷ	Niikappu	3	35	01	01600	01850	01600	
01607	浦河町	うらかわちょう	Urakawa Town	浦河	うらかわ	Urakawa	3	35	01	01600	01853	01600	
01608	様似町	さまにちょう	Samani Town	様似	さまに	Samani	3	35	01	01600	01854	01600	
