code	pref	full-ja	full-ja-hira	full-en	base-ja	base-ja-hira	base-en	type
01000	01	北海道	ほっかいどう	Hokkaido Prefecture	北海道	ほっかいどう	Hokkaido	12
02000	02	青森県	あおもりけん	Aomori Prefecture	青森	あおもり	Aomori	14
03000	03	岩手県	いわてけん	Iwate Prefecture	岩手	いわて	Iwate	14
04000	04	宮城県	みやぎけん	Miyagi Prefecture	宮城	みやぎ	Miyagi	14
05000	05	秋田県	あきたけん	Akita Prefecture	秋田	あきた	Akita	14
06000	06	山形県	やまがたけん	Yamagata Prefecture	山形	やまがた	Yamagata	14
07000	07	福島県	ふくしまけん	Fukushima Prefecture	福島	ふくしま	Fukushima	14
08000	08	茨城県	いばらきけん	Ibaraki Prefecture	茨城	いばらき	Ibaraki	14
09000	09	栃木県	とちぎけん	Tochigi Prefecture	栃木	とちぎ	Tochigi	14
10000	10	群馬県	ぐんまけん	Gunma Prefecture	群馬	ぐんま	Gunma	14
11000	11	埼玉県	さいたまけん	Saitama Prefecture	埼玉	さいたま	Saitama	14
12000	12	千葉県	ちばけん	Chiba Prefecture	千葉	ちば	Chiba	14
13000	13	東京都	とうきょうと	Tokyo Metropolis	東京	とうきょう	Tokyo	11
14000	14	神奈川県	かながわけん	Kanagawa Prefecture	神奈川	かながわ	Kanagawa	14
15000	15	新潟県	にいがたけん	Niigata Prefecture	新潟	にいがた	Niigata	14
16000	16	富山県	とやまけん	Toyama Prefecture	富山	とやま	Toyama	14
17000	17	石川県	いしかわけん	Ishikawa Prefecture	石川	いしかわ	Ishikawa	14
18000	18	福井県	ふくいけん	Fukui Prefecture	福井	ふくい	Fukui	14
19000	19	山梨県	やまなしけん	Yamanashi Prefecture	山梨	やまなし	Yamanashi	14
20000	20	長野県	ながのけん	Nagano Prefecture	長野	ながの	Nagano	14
21000	21	岐阜県	ぎふけん	Gifu Prefecture	岐阜	ぎふ	Gifu	14
22000	22	静岡県	しずおかけん	Shizuoka Prefecture	静岡	しずおか	Shizuoka	14
23000	23	愛知県	あいちけん	Aichi Prefecture	愛知	あいち	Aichi	14
24000	24	三重県	みえけん	Mie Prefecture	三重	みえ	Mie	14
25000	25	滋賀県	しがけん	Shiga Prefecture	滋賀	しが	Shiga	14
26000	26	京都府	きょうとふ	Kyoto Prefecture	京都	きょうと	Kyoto	13
27000	27	大阪府	おおさかふ	Osaka Prefecture	大阪	おおさか	Osaka	13
28000	28	兵庫県	ひょうごけん	Hyogo Prefecture	兵庫	ひょうご	Hyogo	14
29000	29	奈良県	ならけん	Nara Prefecture	奈良	なら	Nara	14
30000	30	和歌山県	わかやまけん	Wakayama Prefecture	和歌山	わかやま	Wakayama	14
31000	31	鳥取県	とっとりけん	Tottori Prefecture	鳥取	とっとり	Tottori	14
32000	32	島根県	しまねけん	Shimane Prefecture	島根	しまね	Shimane	14
33000	33	岡山県	おかやまけん	Okayama Prefecture	岡山	おかやま	Okayama	14
34000	34	広島県	ひろしまけん	Hiroshima Prefecture	広島	ひろしま	Hiroshima	14
35000	35	山口県	やまぐちけん	Yamaguchi Prefecture	山口	やまぐち	Yamaguchi	14
36000	36	徳島県	とくしまけん	Tokushima Prefecture	徳島	とくしま	Tokushima	14
37000	37	香川県	かがわけん	Kagawa Prefecture	香川	かがわ	Kagawa	14
38000	38	愛媛県	えひめけん	Ehime Prefecture	愛媛	えひめ	Ehime	14
39000	39	高知県	こうちけん	Kochi Prefecture	高知	こうち	Kochi	14
40000	40	福岡県	ふくおかけん	Fukuoka Prefecture	福岡	ふくおか	Fukuoka	14
41000	41	佐賀県	さがけん	Saga Prefecture	佐賀	さが	Saga	14
42000	42	長崎県	ながさきけん	Nagasaki Prefecture	長崎	ながさき	Nagasaki	14
43000	43	熊本県	くまもとけん	Kumamoto Prefecture	熊本	くまもと	Kumamoto	14
44000	44	大分県	おおいたけん	Oita Prefecture	大分	おおいた	Oita	14
45000	45	宮崎県	みやざきけん	Miyazaki Prefecture	宮崎	みやざき	Miyazaki	14
46000	46	鹿児島県	かごしまけん	Kagoshima Prefecture	鹿児島	かごしま	Kagoshima	14
47000	47	沖縄県	おきなわけん	Okinawa Prefecture	沖縄	おきなわ	Okinawa	14
