code	full-ja	full-ja-hira	full-en	base-ja	base-ja-hira	base-en	type	pref	psub	county	subpref
01100	札幌市	さっぽろし	Sapporo City	札幌	さっぽろ	Sapporo	31	01	01100		01300
01202	函館市	はこだてし	Hakodate City	函館	はこだて	Hakodate	32	01	01200		01330
01203	小樽市	おたるし	Otaru City	小樽	おたる	Otaru	32	01	01200		01390
01204	旭川市	あさひかわし	Asahikawa City	旭川	あさひかわ	Asahikawa	32	01	01200		01450
01205	室蘭市	むろらんし	Muroran City	室蘭	むろらん	Muroran	32	01	01200		01570
01206	釧路市	くしろし	Kushiro City	釧路	くしろ	Kushiro	32	01	01200		01660
01207	帯広市	おびひろし	Obihiro City	帯広	おびひろ	Obihiro	32	01	01200		01630
01208	北見市	きたみし	Kitami City	北見	きたみ	Kitami	32	01	01200		01540
01209	夕張市	ゆうばりし	Yubari City	夕張	ゆうばり	Yubari	32	01	01200		01420
01210	岩見沢市	いわみざわし	Iwamizawa City	岩見沢	いわみざわ	Iwamizawa	32	01	01200		01420
01211	網走市	あばしりし	Abashiri City	網走	あばしり	Abashiri	32	01	01200		01540
01212	留萌市	るもいし	Rumoi City	留萌	るもい	Rumoi	32	01	01200		01480
01213	苫小牧市	とまこまいし	Tomakomai City	苫小牧	とまこまい	Tomakomai	32	01	01200		01570
01214	稚内市	わっかないし	Wakkanai City	稚内	わっかない	Wakkanai	32	01	01200		01510
01215	美唄市	びばいし	Bibai City	美唄	びばい	Bibai	32	01	01200		01420
01216	芦別市	あしべつし	Ashibetsu City	芦別	あしべつ	Ashibetsu	32	01	01200		01420
01217	江別市	えべつし	Ebetsu City	江別	えべつ	Ebetsu	32	01	01200		01300
01218	赤平市	あかびらし	Akabira City	赤平	あかびら	Akabira	32	01	01200		01420
01219	紋別市	もんべつし	Monbetsu City	紋別	もんべつ	Monbetsu	32	01	01200		01540
01220	士別市	しべつし	Shibetsu City	士別	しべつ	Shibetsu	32	01	01200		01450
01221	名寄市	なよろし	Nayoro City	名寄	なよろ	Nayoro	32	01	01200		01450
01222	三笠市	みかさし	Mikasa City	三笠	みかさ	Mikasa	32	01	01200		01420
01223	根室市	ねむろし	Nemuro City	根室	ねむろ	Nemuro	32	01	01200		01690
01224	千歳市	ちとせし	Chitose City	千歳	ちとせ	Chitose	32	01	01200		01300
01225	滝川市	たきかわし	Takikawa City	滝川	たきかわ	Takikawa	32	01	01200		01420
01226	砂川市	すながわし	Sunagawa City	砂川	すながわ	Sunagawa	32	01	01200		01420
01227	歌志内市	うたしないし	Utashinai City	歌志内	うたしない	Utashinai	32	01	01200		01420
01228	深川市	ふかがわし	Fukagawa City	深川	ふかがわ	Fukagawa	32	01	01200		01420
01229	富良野市	ふらのし	Furano City	富良野	ふらの	Furano	32	01	01200		01450
