code	full-ja	full-ja-hira	full-en	base-ja	base-ja-hira	base-en	type	pref	psub	county	subpref	muni
01101	中央区	ちゅうおうく	Chuo Ward	中央	ちゅうおう	Chuo	41	01	01100		01300	01100
01102	北区	きたく	Kita Ward	北	きた	Kita	41	01	01100		01300	01100
01103	東区	ひがしく	Higashi Ward	東	ひがし	Higashi	41	01	01100		01300	01100
01104	白石区	しろいしく	Shiroishi Ward	白石	しろいし	Shiroishi	41	01	01100		01300	01100
01105	豊平区	とよひらく	Toyohira Ward	豊平	とよひら	Toyohira	41	01	01100		01300	01100
01106	南区	みなみく	Minami Ward	南	みなみ	Minami	41	01	01100		01300	01100
01107	西区	にしく	Nishi Ward	西	にし	Nishi	41	01	01100		01300	01100
01108	厚別区	あつべつく	Atsubetsu Ward	厚別	あつべつ	Atsubetsu	41	01	01100		01300	01100
01109	手稲区	ていねく	Teine Ward	手稲	ていね	Teine	41	01	01100		01300	01100
01110	清田区	きよたく	Kiyota Ward	清田	きよた	Kiyota	41	01	01100		01300	01100
04101	青葉区	あおばく	Aoba Ward	青葉	あおば	Aoba	41	04	04100			04100
04102	宮城野区	みやぎのく	Miyagino Ward	宮城野	みやぎの	Miyagino	41	04	04100			04100
04103	若林区	わかばやしく	Wakabayashi Ward	若林	わかばやし	Wakabayashi	41	04	04100			04100
04104	太白区	たいはくく	Taihaku Ward	太白	たいはく	Taihaku	41	04	04100			04100
04105	泉区	いずみく	Izumi Ward	泉	いずみ	Izumi	41	04	04100			04100
11101	西区	にしく	Nishi Ward	西	にし	Nishi	41	11	11100			11100
11102	北区	きたく	Kita Ward	北	きた	Kita	41	11	11100			11100
11103	大宮区	おおみやく	Omiya Ward	大宮	おおみや	Omiya	41	11	11100			11100
11104	見沼区	みぬまく	Minuma Ward	見沼	みぬま	Minuma	41	11	11100			11100
11105	中央区	ちゅうおうく	Chuo Ward	中央	ちゅうおう	Chuo	41	11	11100			11100
11106	桜区	さくらく	Sakura Ward	桜	さくら	Sakura	41	11	11100			11100
11107	浦和区	うらわく	Urawa Ward	浦和	うらわ	Urawa	41	11	11100			11100
11108	南区	みなみく	Minami Ward	南	みなみ	Minami	41	11	11100			11100
11109	緑区	みどりく	Midori Ward	緑	みどり	Midori	41	11	11100			11100
11110	岩槻区	いわつきく	Iwatsuki Ward	岩槻	いわつき	Iwatsuki	41	11	11100			11100
12101	中央区	ちゅうおうく	Chuo Ward	中央	ちゅうおう	Chuo	41	12	12100			12100
12102	花見川区	はなみがわく	Hanamigawa Ward	花見川	はなみがわ	Hanamigawa	41	12	12100			12100
12103	稲毛区	いなげく	Inage Ward	稲毛	いなげ	Inage	41	12	12100			12100
12104	若葉区	わかばく	Wakaba Ward	若葉	わかば	Wakaba	41	12	12100			12100
12105	緑区	みどりく	Midori Ward	緑	みどり	Midori	41	12	12100			12100
12106	美浜区	みはまく	Mihama Ward	美浜	みはま	Mihama	41	12	12100			12100
14101	鶴見区	つるみく	Tsurumi Ward	鶴見	つるみ	Tsurumi	41	14	14100			14100
14102	神奈川区	かながわく	Kanagawa Ward	神奈川	かながわ	Kanagawa	41	14	14100			14100
14103	西区	にしく	Nishi Ward	西	にし	Nishi	41	14	14100			14100
14104	中区	なかく	Naka Ward	中	なか	Naka	41	14	14100			14100
14105	南区	みなみく	Minami Ward	南	みなみ	Minami	41	14	14100			14100
14106	保土ケ谷区	ほどがやく	Hodogaya Ward	保土ケ谷	ほどがや	Hodogaya	41	14	14100			14100
14107	磯子区	いそごく	Isogo Ward	磯子	いそご	Isogo	41	14	14100			14100
14108	金沢区	かなざわく	Kanazawa Ward	金沢	かなざわ	Kanazawa	41	14	14100			14100
14109	港北区	こうほくく	Kohoku Ward	港北	こうほく	Kohoku	41	14	14100			14100
14110	戸塚区	とつかく	Totsuka Ward	戸塚	とつか	Totsuka	41	14	14100			14100
14111	港南区	こうなんく	Konan Ward	港南	こうなん	Konan	41	14	14100			14100
14112	旭区	あさひく	Asahi Ward	旭	あさひ	Asahi	41	14	14100			14100
14113	緑区	みどりく	Midori Ward	緑	みどり	Midori	41	14	14100			14100
14114	瀬谷区	せやく	Seya Ward	瀬谷	せや	Seya	41	14	14100			14100
14115	栄区	さかえく	Sakae Ward	栄	さかえ	Sakae	41	14	14100			14100
14116	泉区	いずみく	Izumi Ward	泉	いずみ	Izumi	41	14	14100			14100
14117	青葉区	あおばく	Aoba Ward	青葉	あおば	Aoba	41	14	14100			14100
14118	都筑区	つづきく	Tsuzuki Ward	都筑	つづき	Tsuzuki	41	14	14100			14100
14131	川崎区	かわさきく	Kawasaki Ward	川崎	かわさき	Kawasaki	41	14	14130			14130
14132	幸区	さいわいく	Saiwai Ward	幸	さいわい	Saiwai	41	14	14130			14130
14133	中原区	なかはらく	Nakahara Ward	中原	なかはら	Nakahara	41	14	14130			14130
14134	高津区	たかつく	Takatsu Ward	高津	たかつ	Takatsu	41	14	14130			14130
14135	多摩区	たまく	Tama Ward	多摩	たま	Tama	41	14	14130			14130
14136	宮前区	みやまえく	Miyamae Ward	宮前	みやまえ	Miyamae	41	14	14130			14130
14137	麻生区	あさおく	Asao Ward	麻生	あさお	Asao	41	14	14130			14130
14151	緑区	みどりく	Midori Ward	緑	みどり	Midori	41	14	14150			14150
14152	中央区	ちゅうおうく	Chuo Ward	中央	ちゅうおう	Chuo	41	14	14150			14150
14153	南区	みなみく	Minami Ward	南	みなみ	Minami	41	14	14150			14150
15101	北区	きたく	Kita Ward	北	きた	Kita	41	15	15100			15100
15102	東区	ひがしく	Higashi Ward	東	ひがし	Higashi	41	15	15100			15100
15103	中央区	ちゅうおうく	Chuo Ward	中央	ちゅうおう	Chuo	41	15	15100			15100
15104	江南区	こうなんく	Konan Ward	江南	こうなん	Konan	41	15	15100			15100
15105	秋葉区	あきはく	Akiha Ward	秋葉	あきは	Akiha	41	15	15100			15100
15106	南区	みなみく	Minami Ward	南	みなみ	Minami	41	15	15100			15100
15107	西区	にしく	Nishi Ward	西	にし	Nishi	41	15	15100			15100
15108	西蒲区	にしかんく	Nishikan Ward	西蒲	にしかん	Nishikan	41	15	15100			15100
22101	葵区	あおいく	Aoi Ward	葵	あおい	Aoi	41	22	22100			22100
22102	駿河区	するがく	Suruga Ward	駿河	するが	Suruga	41	22	22100			22100
22103	清水区	しみずく	Shimizu Ward	清水	しみず	Shimizu	41	22	22100			22100
22138	中央区	ちゅうおうく	Chuo Ward	中央	ちゅうおう	Chuo	41	22	22130			22130
22139	浜名区	はまなく	Hamana Ward	浜名	はまな	Hamana	41	22	22130			22130
22140	天竜区	てんりゅうく	Tenryu Ward	天竜	てんりゅう	Tenryu	41	22	22130			22130
23101	千種区	ちくさく	Chikusa Ward	千種	ちくさ	Chikusa	41	23	23100			23100
23102	東区	ひがしく	Higashi Ward	東	ひがし	Higashi	41	23	23100			23100
23103	北区	きたく	Kita Ward	北	きた	Kita	41	23	23100			23100
23104	西区	にしく	Nishi Ward	西	にし	Nishi	41	23	23100			23100
23105	中村区	なかむらく	Nakamura Ward	中村	なかむら	Nakamura	41	23	23100			23100
23106	中区	なかく	Naka Ward	中	なか	Naka	41	23	23100			23100
23107	昭和区	しょうわく	Showa Ward	昭和	しょうわ	Showa	41	23	23100			23100
23108	瑞穂区	みずほく	Mizuho Ward	瑞穂	みずほ	Mizuho	41	23	23100			23100
23109	熱田区	あつたく	Atsuta Ward	熱田	あつた	Atsuta	41	23	23100			23100
23110	中川区	なかがわく	Nakagawa Ward	中川	なかがわ	Nakagawa	41	23	23100			23100
23111	港区	みなとく	Minato Ward	港	みなと	Minato	41	23	23100			23100
23112	南区	みなみく	Minami Ward	南	みなみ	Minami	41	23	23100			23100
23113	守山区	もりやまく	Moriyama Ward	守山	もりやま	Moriyama	41	23	23100			23100
23114	緑区	みどりく	Midori Ward	緑	みどり	Midori	41	23	23100			23100
23115	名東区	めいとうく	Meito Ward	名東	めいとう	Meito	41	23	23100			23100
23116	天白区	てんぱくく	Tenpaku Ward	天白	てんぱく	Tenpaku	41	23	23100			23100
26101	北区	きたく	Kita Ward	北	きた	Kita	41	26	26100			26100
26102	上京区	かみぎょうく	Kamigyo Ward	上京	かみぎょう	Kamigyo	41	26	26100			26100
26103	左京区	さきょうく	Sakyo Ward	左京	さきょう	Sakyo	41	26	26100			26100
26104	中京区	なかぎょうく	Nakagyo Ward	中京	なかぎょう	Nakagyo	41	26	26100			26100
26105	東山区	ひがしやまく	Higashiyama Ward	東山	ひがしやま	Higashiyama	41	26	26100			26100
26106	下京区	しもぎょうく	Shimogyo Ward	下京	しもぎょう	Shimogyo	41	26	26100			26100
26107	南区	みなみく	Minami Ward	南	みなみ	Minami	41	26	26100			26100
26108	右京区	うきょうく	Ukyo Ward	右京	うきょう	Ukyo	41	26	26100			26100
26109	伏見区	ふしみく	Fushimi Ward	伏見	ふしみ	Fushimi	41	26	26100			26100
26110	山科区	やましなく	Yamashina Ward	山科	やましな	Yamashina	41	26	26100			26100
26111	西京区	にしきょうく	Nishikyo Ward	西京	にしきょう	Nishikyo	41	26	26100			26100
27102	都島区	みやこじまく	Miyakojima Ward	都島	みやこじま	Miyakojima	41	27	27100			27100
27103	福島区	ふくしまく	Fukushima Ward	福島	ふくしま	Fukushima	41	27	27100			27100
27104	此花区	このはなく	Konohana Ward	此花	このはな	Konohana	41	27	27100			27100
27106	西区	にしく	Nishi Ward	西	にし	Nishi	41	27	27100			27100
27107	港区	みなとく	Minato Ward	港	みなと	Minato	41	27	27100			27100
27108	大正区	たいしょうく	Taisho Ward	大正	たいしょう	Taisho	41	27	27100			27100
27109	天王寺区	てんのうじく	Tennoji Ward	天王寺	てんのうじ	Tennoji	41	27	27100			27100
27111	浪速区	なにわく	Naniwa Ward	浪速	なにわ	Naniwa	41	27	27100			27100
27113	西淀川区	にしよどがわく	Nishiyodogawa Ward	西淀川	にしよどがわ	Nishiyodogawa	41	27	27100			27100
27114	東淀川区	ひがしよどがわく	Higashiyodogawa Ward	東淀川	ひがしよどがわ	Higashiyodogawa	41	27	27100			27100
27115	東成区	ひがしなりく	Higashinari Ward	東成	ひがしなり	Higashinari	41	27	27100			27100
